mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,name
19.0,6,156.0,108.0,2930,15.5,76,3,"toyota mark ii"
32.0,4,135.0,84.00,2295,11.6,82,1,"dodge rampage"
17.0,8,302.0,140.0,3449,10.5,70,1,"ford torino"
38.0,4,105.0,63.00,2125,14.7,82,1,"plymouth horizon miser"
22.0,6,225.0,100.0,3233,15.4,76,1,"plymouth valiant"
30.0,4,97.00,67.00,1985,16.4,77,3,"subaru dl"
24.3,4,151.0,90.00,3003,20.1,80,1,"amc concord"
15.0,8,318.0,150.0,4135,13.5,72,1,"plymouth fury iii"
26.0,4,98.00,90.00,2265,15.5,73,2,"fiat 124 sport coupe"
19.0,6,250.0,88.00,3302,15.5,71,1,"ford torino 500"
33.5,4,85.00,70.00,1945,16.8,77,3,"datsun f-10 hatchback"
23.5,6,173.0,110.0,2725,12.6,81,1,"chevrolet citation"
15.0,8,304.0,150.0,3892,12.5,72,1,"amc matador (sw)"
14.0,8,454.0,220.0,4354,9.0,70,1,"chevrolet impala"
37.0,4,85.00,65.00,1975,19.4,81,3,"datsun 210 mpg"
22.0,4,121.0,76.00,2511,18.0,72,2,"volkswagen 411 (sw)"
19.0,6,250.0,100.0,3282,15.0,71,1,"pontiac firebird"
19.0,4,122.0,85.00,2310,18.5,73,1,"ford pinto"
43.1,4,90.00,48.00,1985,21.5,78,2,"volkswagen rabbit custom diesel"
11.0,8,350.0,180.0,3664,11.0,73,1,"oldsmobile omega"
18.0,6,225.0,95.00,3785,19.0,75,1,"plymouth fury"
27.0,4,151.0,90.00,2950,17.3,82,1,"chevrolet camaro"
26.0,4,116.0,75.00,2246,14.0,74,2,"fiat 124 tc"
17.7,6,231.0,165.0,3445,13.4,78,1,"buick regal sport coupe (turbo)"
30.5,4,98.00,63.00,2051,17.0,77,1,"chevrolet chevette"
31.0,4,119.0,82.00,2720,19.4,82,1,"chevy s-10"
31.6,4,120.0,74.00,2635,18.3,81,3,"mazda 626"
31.9,4,89.00,71.00,1925,14.0,79,2,"vw rabbit custom"
14.0,8,351.0,153.0,4154,13.5,71,1,"ford galaxie 500"
29.5,4,97.00,71.00,1825,12.2,76,2,"volkswagen rabbit"
27.0,4,101.0,83.00,2202,15.3,76,2,"renault 12tl"
28.0,4,112.0,88.00,2605,19.6,82,1,"chevrolet cavalier"
29.8,4,134.0,90.00,2711,15.5,80,3,"toyota corona liftback"
16.0,8,318.0,150.0,4498,14.5,75,1,"plymouth grand fury"
16.0,8,351.0,149.0,4335,14.5,77,1,"ford thunderbird"
37.7,4,89.00,62.00,2050,17.3,81,3,"toyota tercel"
25.0,4,110.0,87.00,2672,17.5,70,2,"peugeot 504"
35.1,4,81.00,60.00,1760,16.1,81,3,"honda civic 1300"
25.4,5,183.0,77.00,3530,20.1,79,2,"mercedes benz 300d"
18.0,3,70.00,90.00,2124,13.5,73,3,"maxda rx3"
13.0,8,440.0,215.0,4735,11.0,73,1,"chrysler new yorker brougham"
32.9,4,119.0,100.0,2615,14.8,81,3,"datsun 200sx"
26.0,4,97.00,78.00,2300,14.5,74,2,"opel manta"
34.7,4,105.0,63.00,2215,14.9,81,1,"plymouth horizon 4"
13.0,8,302.0,140.0,4294,16.0,72,1,"ford gran torino (sw)"
13.0,8,350.0,150.0,4699,14.5,74,1,"buick century luxus (sw)"
30.0,4,79.00,70.00,2074,19.5,71,2,"peugeot 304"
33.0,4,91.00,53.00,1795,17.4,76,3,"honda civic"
36.0,4,105.0,74.00,1980,15.3,82,2,"volkswagen rabbit l"
26.0,4,96.00,69.00,2189,18.0,72,2,"renault 12 (sw)"
38.0,4,91.00,67.00,1965,15.0,82,3,"honda civic"
17.5,8,318.0,140.0,4080,13.7,78,1,"dodge magnum xe"
23.0,4,115.0,95.00,2694,15.0,75,2,"audi 100ls"
15.5,8,400.0,190.0,4325,12.2,77,1,"chrysler cordoba"
36.4,5,121.0,67.00,2950,19.9,80,2,"audi 5000s (diesel)"
16.0,8,400.0,170.0,4668,11.5,75,1,"pontiac catalina"
10.0,8,360.0,215.0,4615,14.0,70,1,"ford f250"
13.0,8,350.0,155.0,4502,13.5,72,1,"buick lesabre custom"
