mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,name
22.0,4,122.0,86.00,2395,16.0,72,1,"ford pinto (sw)"
15.0,8,429.0,198.0,4341,10.0,70,1,"ford galaxie 500"
14.0,8,304.0,150.0,4257,15.5,74,1,"amc matador (sw)"
18.0,6,225.0,105.0,3613,16.5,74,1,"plymouth satellite sebring"
22.0,6,198.0,95.00,2833,15.5,70,1,"plymouth duster"
30.0,4,111.0,80.00,2155,14.8,77,1,"buick opel isuzu deluxe"
16.5,6,168.0,120.0,3820,16.7,76,2,"mercedes-benz 280s"
29.0,4,68.00,49.00,1867,19.5,73,2,"fiat 128"
15.0,8,350.0,165.0,3693,11.5,70,1,"buick skylark 320"
18.0,6,250.0,105.0,3459,16.0,75,1,"chevrolet nova"
14.0,8,455.0,225.0,4425,10.0,70,1,"pontiac catalina"
23.0,4,140.0,83.00,2639,17.0,75,1,"ford pinto"
24.0,4,113.0,95.00,2278,15.5,72,3,"toyota corona hardtop"
21.0,6,231.0,110.0,3039,15.0,75,1,"buick skyhawk"
31.5,4,98.00,68.00,2045,18.5,77,3,"honda accord cvcc"
33.5,4,98.00,83.00,2075,15.9,77,1,"dodge colt m/m"
22.0,4,121.0,98.00,2945,14.5,75,2,"volvo 244dl"
19.4,6,232.0,90.00,3210,17.2,78,1,"amc concord"
29.0,4,85.00,52.00,2035,22.2,76,1,"chevrolet chevette"
27.0,4,151.0,90.00,2735,18.0,82,1,"pontiac phoenix"
13.0,8,350.0,145.0,4055,12.0,76,1,"chevy c10"
20.2,6,200.0,88.00,3060,17.1,81,1,"ford granada gl"
13.0,8,302.0,130.0,3870,15.0,76,1,"ford f108"
31.0,4,79.00,67.00,1950,19.0,74,3,"datsun b210"
16.0,6,258.0,110.0,3632,18.0,74,1,"amc matador"
25.0,4,140.0,92.00,2572,14.9,76,1,"capri ii"
16.5,8,351.0,138.0,3955,13.2,79,1,"mercury grand marquis"
13.0,8,360.0,175.0,3821,11.0,73,1,"amc ambassador brougham"
24.5,4,98.00,60.00,2164,22.1,76,1,"chevrolet woody"
22.0,6,146.0,97.00,2815,14.5,77,3,"datsun 810"
21.6,4,121.0,115.0,2795,15.7,78,2,"saab 99gle"
14.0,8,318.0,150.0,4237,14.5,73,1,"plymouth fury gran sedan"
20.2,8,302.0,139.0,3570,12.8,78,1,"mercury monarch ghia"
15.0,6,250.0,100.0,3336,17.0,74,1,"chevrolet nova"
33.0,4,91.00,53.00,1795,17.5,75,3,"honda civic cvcc"
31.0,4,79.00,67.00,2000,16.0,74,2,"fiat x1.9"
20.0,8,262.0,110.0,3221,13.5,75,1,"chevrolet monza 2+2"
24.0,4,116.0,75.00,2158,15.5,73,2,"opel manta"
18.5,8,360.0,150.0,3940,13.0,79,1,"chrysler lebaron town @ country (sw)"
18.0,8,318.0,150.0,3436,11.0,70,1,"plymouth satellite"
33.5,4,151.0,90.00,2556,13.2,79,1,"pontiac phoenix"
19.0,4,120.0,88.00,3270,21.9,76,2,"peugeot 504"
37.0,4,119.0,92.00,2434,15.0,80,3,"datsun 510 hatchback"
27.2,4,141.0,71.00,3190,24.8,79,2,"peugeot 504"
32.8,4,78.00,52.00,1985,19.4,78,3,"mazda glc deluxe"
23.9,8,260.0,90.00,3420,22.2,79,1,"oldsmobile cutlass salon brougham"
14.0,8,318.0,150.0,4096,13.0,71,1,"plymouth fury iii"
12.0,8,455.0,225.0,4951,11.0,73,1,"buick electra 225 custom"
16.5,8,350.0,180.0,4380,12.1,76,1,"cadillac seville"
15.0,8,350.0,145.0,4082,13.0,73,1,"chevrolet monte carlo s"
16.0,8,304.0,150.0,3433,12.0,70,1,"amc rebel sst"
13.0,8,318.0,150.0,3940,13.2,76,1,"plymouth volare premier v8"
19.0,6,225.0,100.0,3630,17.7,77,1,"plymouth volare custom"
29.0,4,135.0,84.00,2525,16.0,82,1,"dodge aries se"
15.0,8,400.0,150.0,3761,9.5,70,1,"chevrolet monte carlo"
32.0,4,91.00,67.00,1965,15.7,82,3,"honda civic (auto)"
9.0,8,304.0,193.0,4732,18.5,70,1,"hi 1200d"
14.0,8,351.0,153.0,4129,13.0,72,1,"ford galaxie 500"
26.0,4,97.00,75.00,2265,18.2,77,3,"toyota corolla liftback"
19.9,8,260.0,110.0,3365,15.5,78,1,"oldsmobile cutlass salon brougham"
24.0,4,113.0,95.00,2372,15.0,70,3,"toyota corona mark ii"
32.7,6,168.0,132.0,2910,11.4,80,3,"datsun 280-zx"
23.0,6,198.0,95.00,2904,16.0,73,1,"plymouth duster"
31.8,4,85.00,65.00,2020,19.2,79,3,"datsun 210"
43.4,4,90.00,48.00,2335,23.7,80,2,"vw dasher (diesel)"
18.0,6,199.0,97.00,2774,15.5,70,1,"amc hornet"
14.0,8,400.0,175.0,4464,11.5,71,1,"pontiac catalina brougham"
41.5,4,98.00,76.00,2144,14.7,80,2,"vw rabbit"
18.0,6,250.0,88.00,3139,14.5,71,1,"ford mustang"
19.4,8,318.0,140.0,3735,13.2,78,1,"dodge diplomat"
14.0,8,302.0,140.0,4638,16.0,74,1,"ford gran torino (sw)"
14.5,8,351.0,152.0,4215,12.8,76,1,"ford gran torino"
23.0,8,350.0,125.0,3900,17.4,79,1,"cadillac eldorado"
15.0,8,318.0,150.0,3399,11.0,73,1,"dodge dart custom"
25.8,4,156.0,92.00,2620,14.4,81,1,"dodge aries wagon (sw)"
17.0,6,250.0,100.0,3329,15.5,71,1,"chevrolet chevelle malibu"
24.0,4,140.0,92.00,2865,16.4,82,1,"ford fairmont futura"
15.0,6,250.0,72.00,3432,21.0,75,1,"mercury monarch"
13.0,8,351.0,158.0,4363,13.0,73,1,"ford ltd"
27.0,4,97.00,88.00,2100,16.5,72,3,"toyota corolla 1600 (sw)"
21.0,6,199.0,90.00,2648,15.0,70,1,"amc gremlin"
31.3,4,120.0,75.00,2542,17.5,80,3,"mazda 626"
15.0,8,390.0,190.0,3850,8.5,70,1,"amc ambassador dpl"
18.0,6,258.0,110.0,2962,13.5,71,1,"amc hornet sportabout (sw)"
18.2,8,318.0,135.0,3830,15.2,79,1,"dodge st. regis"
23.0,4,97.00,54.00,2254,23.5,72,2,"volkswagen type 3"
14.0,8,318.0,150.0,4457,13.5,74,1,"dodge coronet custom (sw)"
19.0,3,70.00,97.00,2330,13.5,72,3,"mazda rx2 coupe"
25.0,6,181.0,110.0,2945,16.4,82,1,"buick century limited"
22.0,6,232.0,112.0,2835,14.7,82,1,"ford granada l"
16.9,8,350.0,155.0,4360,14.9,79,1,"buick estate wagon (sw)"
32.4,4,108.0,75.00,2350,16.8,81,3,"toyota corolla"
34.5,4,105.0,70.00,2150,14.9,79,1,"plymouth horizon tc3"
34.4,4,98.00,65.00,2045,16.2,81,1,"ford escort 4w"
30.0,4,146.0,67.00,3250,21.8,80,2,"mercedes-benz 240d"
16.0,6,250.0,105.0,3897,18.5,75,1,"chevroelt chevelle malibu"
15.5,8,350.0,170.0,4165,11.4,77,1,"chevrolet monte carlo landau"
19.0,6,232.0,100.0,2901,16.0,74,1,"amc hornet"
28.8,6,173.0,115.0,2595,11.3,79,1,"chevrolet citation"
32.0,4,71.00,65.00,1836,21.0,74,3,"toyota corolla 1200"
21.0,4,120.0,87.00,2979,19.5,72,2,"peugeot 504 (sw)"
34.1,4,91.00,68.00,1985,16.0,81,3,"mazda glc 4"
19.2,8,305.0,145.0,3425,13.2,78,1,"chevrolet monte carlo landau"
31.0,4,112.0,85.00,2575,16.2,82,1,"pontiac j2000 se hatchback"
27.0,4,140.0,86.00,2790,15.6,82,1,"ford mustang gl"
14.0,8,302.0,137.0,4042,14.5,73,1,"ford gran torino"
13.0,8,350.0,165.0,4274,12.0,72,1,"chevrolet impala"
26.4,4,140.0,88.00,2870,18.1,80,1,"ford fairmont"
13.0,8,360.0,170.0,4654,13.0,73,1,"plymouth custom suburb"
18.0,6,225.0,105.0,3121,16.5,73,1,"plymouth valiant"
13.0,8,318.0,150.0,3755,14.0,76,1,"dodge d100"
18.0,6,232.0,100.0,2945,16.0,73,1,"amc hornet"
36.0,4,120.0,88.00,2160,14.5,82,3,"nissan stanza xe"
18.1,8,302.0,139.0,3205,11.2,78,1,"ford futura"
21.0,6,200.0,85.00,2587,16.0,70,1,"ford maverick"
28.0,4,116.0,90.00,2123,14.0,71,2,"opel 1900"
36.0,4,107.0,75.00,2205,14.5,82,3,"honda accord"
26.0,4,91.00,70.00,1955,20.5,71,1,"plymouth cricket"
34.2,4,105.0,70.00,2200,13.2,79,1,"plymouth horizon"
20.2,6,232.0,90.00,3265,18.2,79,1,"amc concord dl 6"
44.6,4,91.00,67.00,1850,13.8,80,3,"honda civic 1500 gl"
13.0,8,350.0,145.0,3988,13.0,73,1,"chevrolet malibu"
14.0,8,400.0,175.0,4385,12.0,72,1,"pontiac catalina"
17.0,8,305.0,130.0,3840,15.4,79,1,"chevrolet caprice classic"
44.3,4,90.00,48.00,2085,21.7,80,2,"vw rabbit c (diesel)"
32.4,4,107.0,72.00,2290,17.0,80,3,"honda accord"
19.2,8,267.0,125.0,3605,15.0,79,1,"chevrolet malibu classic (sw)"
14.0,8,340.0,160.0,3609,8.0,70,1,"plymouth cuda 340"
27.0,4,97.00,88.00,2130,14.5,71,3,"datsun pl510"
13.0,8,400.0,190.0,4422,12.5,72,1,"chrysler newport royal"
39.1,4,79.00,58.00,1755,16.9,81,3,"toyota starlet"
16.0,6,250.0,100.0,3781,17.0,74,1,"chevrolet chevelle malibu classic"
38.0,6,262.0,85.00,3015,17.0,82,1,"oldsmobile cutlass ciera (diesel)"
31.0,4,91.00,68.00,1970,17.6,82,3,"mazda glc custom"
27.5,4,134.0,95.00,2560,14.2,78,3,"toyota corona"
17.0,6,163.0,125.0,3140,13.6,78,2,"volvo 264gl"
20.8,6,200.0,85.00,3070,16.7,78,1,"mercury zephyr"
